village_id,village_name,population,healthcare_access,education_access,water_supply,electricity,road_connectivity,income_level
1,Sbzpavville,254,No,No,Partial,Yes,Poor,Low
2,Unknown,885,No,No,Partial,No,Fair,Medium
3,Jlwnhttmyhlville,1824,Yes,No,Partial,No,Fair,Low
4,Pnijgjhbeqcville,670,No,No,None,No,Fair,High
5,Ilacuunnville,333,No,No,Full,Yes,Fair,Low
6,Gzwshqajbsville,338,No,No,None,No,Fair,Medium
7,Lkomlcpkville,1716,No,No,None,No,Poor,Low
8,Eqtaxslegojville,549,Yes,Yes,Full,No,Fair,High
9,Ovbqajwkville,1791,No,Yes,None,Yes,Fair,Low
10,Tmmhmqhville,1431,No,Yes,None,No,Poor,Medium
11,Nfyodiville,539,Yes,No,Partial,No,Good,Medium
12,Ltjdhkvkville,1071,No,Yes,Partial,Yes,Good,Medium
13,Vbuitgville,319,Yes,No,None,No,Poor,Low
14,Pltvuxdville,1383,Yes,Yes,Full,No,Fair,Low
15,Nwudxkhdeciville,1141,Yes,Yes,Partial,No,Good,Low
16,Ebfmpmtmville,158,No,No,Partial,Yes,Poor,Low
17,Iiktmjuobysville,1833,No,No,None,Yes,Fair,Low
18,Znxzgaoecville,503,Yes,No,Partial,Yes,Poor,Low
19,Ltzyquepville,686,No,No,Full,No,Poor,Low
20,Fqtbivhxville,426,No,Yes,Partial,No,Poor,High
21,Mnczidomville,429,No,No,Full,No,Fair,Low
22,Dnndalvsrville,417,Yes,Yes,Full,Yes,Poor,Medium
23,Kobimxrville,180,Yes,No,Full,Yes,Good,Low
24,Wjhquwawdville,951,No,No,Full,No,Fair,Medium
25,Xkxmfxville,489,No,No,Full,Yes,Poor,High
26,Pysqrvpville,248,No,No,Full,No,Fair,High
27,Xizlsikville,1106,No,Yes,None,Yes,Poor,Low
28,Ogimpmville,1084,Yes,Yes,None,No,Good,Low
29,Tehkqsuville,1122,No,Yes,Full,No,Poor,Low
30,Exsoejuxjgpville,1223,Yes,No,Full,No,Good,Low
31,Qynwktsqpubville,979,No,Yes,Full,Yes,Good,Medium
32,Cuaemjrvcoville,1866,Yes,No,Partial,Yes,Poor,High
33,Cyqituokville,1158,Yes,Yes,None,Yes,Poor,Low
34,Vlfaytgville,622,No,No,Full,Yes,Good,High
35,Witjsjlyfville,600,No,Yes,Partial,Yes,Good,High
36,Felpozpspmville,952,No,Yes,Partial,No,Fair,High
37,Unknown,1786,No,Yes,None,No,Poor,Low
38,Txntupodyville,406,No,Yes,Partial,No,Good,Low
39,Hnqncxqsaville,487,No,No,Full,No,Poor,Low
40,Iglramavxville,1520,Yes,Yes,None,No,Good,High
41,Xkklvxeghqgville,867,No,Yes,None,No,Poor,Medium
42,Bqbtuezflyville,1466,No,No,Full,Yes,Good,Low
43,Arlrmhaxville,452,No,No,None,Yes,Good,Medium
44,Xqvxvjllboville,644,No,Yes,Full,Yes,Good,Medium
45,Japdyeawxkhville,736,No,No,Full,Yes,Good,Low
46,Nssiwvwvfville,917,No,Yes,Partial,No,Good,Low
47,Mtnvogrrblville,982,Yes,No,Full,Yes,Good,High
48,Djgjimnrville,984,No,Yes,Full,Yes,Fair,Low
49,Pqpvilnjdville,904,No,No,None,Yes,Fair,High
50,Qdncjcxcville,167,No,Yes,None,Yes,Good,Low
51,Kpmhawpville,1613,No,No,Partial,No,Poor,High
52,Jqficcville,176,Yes,No,None,Yes,Good,Low
53,Zfkdybville,1387,Yes,Yes,Full,No,Fair,Medium
54,Qwpxbnnville,571,Yes,Yes,Partial,No,Good,Medium
55,Uirhqyville,1201,Yes,Yes,Full,Yes,Poor,Medium
56,Zgmcrumville,1751,Yes,Yes,Full,No,Good,High
57,Rrfdikgaville,690,No,Yes,Full,Yes,Fair,High
58,Ncivchville,1597,Yes,Yes,None,No,Good,Low
59,Xbkckiville,1413,Yes,Yes,Partial,Yes,Fair,Low
60,Adqrxcbqasville,1251,Yes,No,Full,No,Poor,Medium
61,Giourhville,1328,No,Yes,None,No,Poor,Medium
62,Odlqvwhwbiville,224,Yes,No,None,No,Good,Low
63,Penyulkmywville,1180,No,No,None,No,Good,High
64,Ogzgmjrxiville,1742,Yes,No,Full,No,Poor,Low
65,Sfizjjville,1339,Yes,No,Full,Yes,Poor,Low
66,Jkrcerdwttville,695,No,No,Full,No,Fair,High
67,Pzapfmveqville,669,No,No,Full,Yes,Good,Low
68,Dakfzxlslville,483,Yes,No,Full,Yes,Good,Low
69,Wkppiwville,161,Yes,No,None,No,Good,Low
70,Ktzdfpsmville,389,Yes,Yes,Full,No,Poor,Medium
71,Vrcnzvbbszmville,578,No,Yes,Partial,Yes,Fair,Low
72,Przsyohxghbville,1285,No,No,Full,Yes,Fair,Medium
73,Xssohphyllmville,226,No,Yes,None,Yes,Good,Medium
74,Ztfrmhyville,868,No,Yes,Partial,No,Poor,Low
75,Huqbpgosville,642,No,Yes,None,Yes,Fair,Medium
76,Sykcyesville,1714,No,Yes,Partial,Yes,Good,Medium
77,Unknown,124,No,No,Partial,No,Poor,High
78,Jtacfcville,1337,Yes,No,None,No,Fair,Medium
79,Phkbnyville,1524,No,Yes,None,No,Good,High
80,Yatohzjlville,367,Yes,No,None,Yes,Poor,Medium
81,Vvdhojville,105,No,No,Partial,No,Poor,Low
82,Pgbsjghbvville,315,Yes,No,Partial,Yes,Poor,High
83,Unknown,1955,Yes,Yes,Full,No,Fair,Medium
84,Gnykepszuiville,231,No,Yes,Full,Yes,Fair,Low
85,Ffeeagdville,993,Yes,No,None,Yes,Good,Low
86,Aiqgbdswville,1975,No,No,None,Yes,Fair,Low
87,Msnsdjfgqville,720,No,No,Partial,Yes,Good,Low
88,Unknown,963,No,Yes,Full,Yes,Fair,High
89,Lrhygbville,1315,No,No,Partial,Yes,Good,High
90,Rbhvhdgtjipville,554,Yes,Yes,None,No,Fair,Medium
91,Uyhokjxville,1886,No,No,None,No,Fair,High
92,Xyzhpiwville,1523,Yes,Yes,None,Yes,Poor,Medium
93,Dlzwudnlville,653,No,No,Full,No,Good,High
94,Kwhsltleafzville,354,Yes,Yes,Full,Yes,Fair,High
95,Mfqbbwwville,380,No,Yes,None,Yes,Fair,High
96,Lcdvupntunville,1626,Yes,No,None,Yes,Poor,Low
97,Rkedibdzjcville,273,Yes,No,Full,No,Good,High
98,Hsrnitewville,778,Yes,No,None,Yes,Poor,Medium
99,Kkmvpyjville,1155,No,Yes,None,No,Poor,Low
100,Dywkhbzville,1032,Yes,No,None,No,Poor,Medium
101,Ewlnbgprkqtville,511,Yes,Yes,Partial,No,Fair,High
102,Jxdqjrziville,193,No,Yes,Partial,Yes,Good,Medium
103,Sjyxltynville,1361,Yes,No,Partial,No,Fair,Low
104,Tkiztkttpville,1295,Yes,Yes,None,No,Fair,High
105,Tfssfbuylbville,1104,No,No,Partial,No,Poor,Medium
106,Faglqbbpgville,1282,Yes,No,None,Yes,Good,Medium
107,Mcnrsigville,1858,No,No,None,Yes,Good,Medium
108,Asroyvaennpville,1837,No,No,Partial,No,Good,High
109,Unknown,1348,No,Yes,Partial,No,Fair,Medium
110,Lepvbtupxbjville,1946,No,Yes,None,No,Poor,Low
111,Ahuvjpjvgville,1289,No,No,Full,Yes,Good,Low
112,Lrwjyoiulville,974,No,Yes,None,Yes,Poor,Low
113,Ehjwoxgwzlville,1660,No,No,Full,No,Fair,Low
114,Gysryrwville,1969,Yes,No,Partial,No,Poor,Medium
115,Pgupllville,1813,No,No,Full,Yes,Poor,Medium
116,Dpuxddpwville,1859,No,Yes,None,Yes,Fair,Low
117,Srplobville,776,Yes,Yes,Partial,Yes,Fair,High
118,Pckbxyville,1477,Yes,Yes,Full,Yes,Good,Medium
119,Wubuqkcjaville,1086,Yes,Yes,Partial,No,Poor,Low
120,Ilsijpcvmtsville,997,No,Yes,Full,No,Poor,High
121,Jrnkkfeulkville,1053,No,No,None,Yes,Fair,Low
122,Scfidzufrcville,547,Yes,Yes,Full,No,Good,High
123,Gkdlmcckkjaville,1062,No,Yes,Partial,Yes,Fair,Medium
124,Yvzdyshvrfqville,715,Yes,No,Full,No,Fair,Medium
125,Xwfkaaatkville,382,No,No,Partial,Yes,Fair,Low
126,Knotqtville,1616,No,No,None,Yes,Fair,Low
127,Dohpzysaville,1425,No,Yes,None,Yes,Good,Low
128,Ckstkxville,1979,No,Yes,None,No,Poor,High
129,Ymlvbgncobville,480,Yes,No,Partial,No,Good,Low
130,Usdeezqville,864,No,Yes,Full,No,Poor,Low
131,Vlpirenville,302,No,No,None,Yes,Fair,High
132,Kncoqggqfxville,610,Yes,No,Full,Yes,Good,Low
133,Wlqupggigcville,1334,No,Yes,None,Yes,Fair,Low
134,Unknown,539,No,Yes,Full,No,Poor,High
135,Njnipwkcznyville,669,No,Yes,None,No,Good,High
136,Lnxdnvibville,1757,Yes,Yes,Full,No,Poor,Medium
137,Owdmzzanville,1749,Yes,Yes,None,Yes,Good,Low
138,Nehmixxrdjville,826,No,No,Partial,No,Fair,High
139,Dhycmxeville,1026,Yes,Yes,Full,Yes,Good,Low
140,Unknown,1671,No,Yes,None,Yes,Good,High
